LIF→HRF,HRF→HRF,Total Sparsity (%),Train Acc (%),Test Acc (%),Energy (J),SOPs,Runs
Dense,Dense,100.0%,90.78 ± 0.14,90.08 ± 0.12,3.322e-05 ± 1.95e-06,3.691e+07 ± 2.16e+06,3
Dense,80%,80.0%,90.69 ± 0.37,89.92 ± 0.30,2.925e-05 ± 1.99e-06,3.250e+07 ± 2.21e+06,3
Dense,50%,50.0%,89.97 ± 0.02,89.37 ± 0.15,2.481e-05 ± 2.10e-06,2.757e+07 ± 2.33e+06,3
Dense,20%,20.0%,88.27 ± 0.15,87.20 ± 0.14,2.036e-05 ± 1.99e-06,2.262e+07 ± 2.21e+06,3
Dense,10%,10.0%,85.89 ± 0.40,85.25 ± 0.64,1.908e-05 ± 1.95e-06,2.120e+07 ± 2.17e+06,3
80%,Dense,80.0%,90.72 ± 0.33,90.06 ± 0.37,2.851e-05 ± 1.64e-06,3.167e+07 ± 1.82e+06,3
80%,80%,64.0%,91.03 ± 0.40,90.12 ± 0.42,2.502e-05 ± 1.96e-06,2.780e+07 ± 2.18e+06,3
80%,50%,40.0%,89.70 ± 0.39,89.40 ± 0.44,2.094e-05 ± 1.86e-06,2.327e+07 ± 2.07e+06,3
80%,20%,16.0%,87.84 ± 0.24,87.33 ± 0.09,1.675e-05 ± 1.66e-06,1.861e+07 ± 1.84e+06,3
80%,10%,8.0%,85.95 ± 0.47,85.47 ± 0.47,1.546e-05 ± 1.61e-06,1.718e+07 ± 1.79e+06,3
50%,Dense,50.0%,90.87 ± 0.24,90.30 ± 0.26,2.147e-05 ± 1.04e-06,2.385e+07 ± 1.16e+06,3
50%,80%,40.0%,90.01 ± 0.66,89.48 ± 0.50,1.863e-05 ± 1.45e-06,2.070e+07 ± 1.61e+06,3
50%,50%,25.0%,90.07 ± 0.31,89.01 ± 0.31,1.490e-05 ± 1.27e-06,1.656e+07 ± 1.41e+06,3
50%,20%,10.0%,87.25 ± 0.26,86.66 ± 0.36,1.116e-05 ± 1.07e-06,1.240e+07 ± 1.19e+06,3
50%,10%,5.0%,85.72 ± 0.42,85.13 ± 0.36,9.995e-06 ± 1.02e-06,1.111e+07 ± 1.14e+06,3
20%,Dense,20.0%,90.73 ± 0.41,89.63 ± 0.35,1.326e-05 ± 6.52e-07,1.474e+07 ± 7.24e+05,3
20%,80%,16.0%,89.81 ± 0.50,89.00 ± 0.47,1.136e-05 ± 7.90e-07,1.263e+07 ± 8.78e+05,3
20%,50%,10.0%,88.66 ± 0.36,87.98 ± 0.41,8.257e-06 ± 5.68e-07,9.174e+06 ± 6.31e+05,3
20%,20%,4.0%,87.07 ± 0.23,86.35 ± 0.10,5.327e-06 ± 4.79e-07,5.919e+06 ± 5.33e+05,3
20%,10%,2.0%,84.99 ± 0.30,84.66 ± 0.27,4.406e-06 ± 4.05e-07,4.895e+06 ± 4.50e+05,3
10%,Dense,10.0%,89.24 ± 0.27,88.74 ± 0.13,9.683e-06 ± 5.81e-07,1.076e+07 ± 6.45e+05,3
10%,80%,8.0%,88.63 ± 0.13,87.90 ± 0.12,7.967e-06 ± 3.29e-07,8.852e+06 ± 3.66e+05,3
10%,50%,5.0%,87.79 ± 0.07,87.41 ± 0.32,5.572e-06 ± 2.86e-07,6.191e+06 ± 3.18e+05,3
10%,20%,2.0%,85.84 ± 0.21,85.00 ± 0.55,3.232e-06 ± 2.57e-07,3.591e+06 ± 2.86e+05,3
10%,10%,1.0%,84.42 ± 0.15,83.69 ± 0.23,2.486e-06 ± 2.10e-07,2.762e+06 ± 2.33e+05,3
