SUMMARY TABLE: n_hid = 800
========================================================================================================================
LIF→HRF HRF→HRF Total Sparsity (%) Train Acc (%) Test Acc (%)           Energy (J)                 SOPs  Runs
  Dense   Dense             100.0%  95.93 ± 0.08 93.44 ± 0.34 3.507e-04 ± 6.93e-07 3.897e+08 ± 7.70e+05     3
  Dense     80%              80.0%  95.98 ± 0.04 93.34 ± 0.20 3.194e-04 ± 2.89e-06 3.549e+08 ± 3.21e+06     3
  Dense     50%              50.0%  95.63 ± 0.18 93.29 ± 0.24 2.647e-04 ± 3.33e-06 2.941e+08 ± 3.69e+06     3
  Dense     20%              20.0%  95.75 ± 0.09 91.88 ± 0.10 2.113e-04 ± 3.76e-06 2.348e+08 ± 4.18e+06     3
  Dense     10%              10.0%  92.75 ± 0.23 90.71 ± 0.36 1.941e-04 ± 3.26e-06 2.157e+08 ± 3.62e+06     3
    80%   Dense              80.0%  95.98 ± 0.12 93.05 ± 0.74 3.117e-04 ± 1.21e-06 3.463e+08 ± 1.34e+06     3
    80%     80%              64.0%  97.10 ± 0.08 93.63 ± 0.10 2.777e-04 ± 3.23e-06 3.085e+08 ± 3.59e+06     3
    80%     50%              40.0%  95.53 ± 0.21 92.95 ± 0.23 2.253e-04 ± 3.27e-06 2.503e+08 ± 3.63e+06     3
    80%     20%              16.0%  94.20 ± 0.25 92.07 ± 0.32 1.747e-04 ± 3.37e-06 1.941e+08 ± 3.75e+06     3
    80%     10%               8.0%  92.60 ± 0.12 90.37 ± 0.27 1.582e-04 ± 2.58e-06 1.758e+08 ± 2.87e+06     3
    50%   Dense              50.0%  96.13 ± 0.07 93.42 ± 0.07 2.443e-04 ± 3.58e-07 2.715e+08 ± 3.98e+05     3
    50%     80%              40.0%  96.09 ± 0.12 93.29 ± 0.20 2.140e-04 ± 3.61e-06 2.377e+08 ± 4.01e+06     3
    50%     50%              25.0%  96.70 ± 0.17 93.08 ± 0.27 1.651e-04 ± 3.36e-06 1.834e+08 ± 3.73e+06     3
    50%     20%              10.0%  94.03 ± 0.32 91.92 ± 0.39 1.183e-04 ± 2.66e-06 1.315e+08 ± 2.95e+06     3
    50%     10%               5.0%  92.49 ± 0.21 90.34 ± 0.29 1.033e-04 ± 1.68e-06 1.147e+08 ± 1.86e+06     3
    20%   Dense              20.0%  97.11 ± 0.11 93.58 ± 0.08 1.671e-04 ± 3.41e-06 1.857e+08 ± 3.79e+06     3
    20%     80%              16.0%  95.66 ± 0.12 93.22 ± 0.23 1.378e-04 ± 2.80e-06 1.531e+08 ± 3.11e+06     3
    20%     50%              10.0%  95.25 ± 0.15 92.87 ± 0.26 9.815e-05 ± 1.91e-06 1.091e+08 ± 2.12e+06     3
    20%     20%               4.0%  93.62 ± 0.23 91.50 ± 0.09 5.940e-05 ± 1.16e-06 6.600e+07 ± 1.28e+06     3
    20%     10%               2.0%  92.04 ± 0.14 90.13 ± 0.21 4.726e-05 ± 6.72e-07 5.251e+07 ± 7.46e+05     3
    10%   Dense              10.0%  95.75 ± 0.21 93.42 ± 0.19 1.282e-04 ± 1.47e-06 1.424e+08 ± 1.63e+06     3
    10%     80%               8.0%  95.39 ± 0.07 93.09 ± 0.14 1.018e-04 ± 2.43e-06 1.132e+08 ± 2.70e+06     3
    10%     50%               5.0%  94.66 ± 0.43 92.41 ± 0.27 6.915e-05 ± 1.54e-06 7.683e+07 ± 1.71e+06     3
    10%     20%               2.0%  93.16 ± 0.07 91.04 ± 0.05 3.731e-05 ± 7.34e-07 4.146e+07 ± 8.16e+05     3
    10%     10%               1.0%  93.32 ± 0.09 89.32 ± 0.37 2.732e-05 ± 4.63e-07 3.036e+07 ± 5.14e+05     3
========================================================================================================================
