n_hid: 256, epochs: 120, batch: 120, lr: 0.0054, dt: 0.076, gamma: 4.0, epsilon: 0.8, gamma_range: 2.0, epsilon_range: 2.0, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 0.9, leaky: 1.0, lstm: False, use_test: True, valid: 0.83, test: 0.83
**************


n_hid: 256, epochs: 120, batch: 120, lr: 0.0054, dt: 0.076, gamma: 0.4, epsilon: 8.0, gamma_range: 1.0, epsilon_range: 4.7, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 0.9, leaky: 1.0, lstm: False, use_test: True, valid: 0.62, test: 0.64
**************


n_hid: 256, epochs: 120, batch: 120, lr: 0.0054, dt: 0.076, gamma: 4.0, epsilon: 0.8, gamma_range: 2.0, epsilon_range: 2.0, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 0.9, leaky: 1.0, lstm: False, use_test: True, valid: 0.88, test: 0.89
**************


n_hid: 256, epochs: 120, batch: 120, lr: 0.0054, dt: 0.076, gamma: 4.0, epsilon: 0.8, gamma_range: 2.0, epsilon_range: 2.0, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 0.9, leaky: 1.0, lstm: False, use_test: True, valid: 0.88, test: 0.89
**************


n_hid: 256, epochs: 120, batch: 120, lr: 0.0054, dt: 0.076, gamma: 4.0, epsilon: 0.8, gamma_range: 2.0, epsilon_range: 2.0, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 0.9, leaky: 1.0, lstm: False, use_test: True, valid: 0.86, test: 0.87
**************


n_hid: 256, epochs: 120, batch: 120, lr: 0.0054, dt: 0.076, gamma: 4.0, epsilon: 0.8, gamma_range: 2.0, epsilon_range: 2.0, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 0.9, leaky: 1.0, lstm: False, use_test: True, valid: 0.88, test: 0.88
**************


n_hid: 256, epochs: 120, batch: 120, lr: 0.0054, dt: 0.076, gamma: 4.0, epsilon: 0.8, gamma_range: 2.0, epsilon_range: 2.0, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 0.9, leaky: 1.0, lstm: False, use_test: True, valid: 0.88, test: 0.89
**************


n_hid: 256, epochs: 120, batch: 120, lr: 0.0054, dt: 0.076, gamma: 4.0, epsilon: 0.8, gamma_range: 2.0, epsilon_range: 2.0, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 0.9, leaky: 1.0, lstm: False, use_test: True, valid: 0.84, test: 0.86
**************


n_hid: 800, epochs: 120, batch: 120, lr: 0.0054, dt: 0.076, gamma: 4.0, epsilon: 0.8, gamma_range: 2.0, epsilon_range: 2.0, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 0.9, leaky: 1.0, lstm: False, use_test: True, valid: 0.91, test: 0.91
**************


n_hid: 800, epochs: 120, batch: 120, lr: 0.0054, dt: 0.076, gamma: 4.0, epsilon: 0.8, gamma_range: 2.0, epsilon_range: 2.0, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 0.9, leaky: 1.0, lstm: False, use_test: True, valid: 0.92, test: 0.92
**************


n_hid: 800, epochs: 120, batch: 120, lr: 0.0054, dt: 0.076, gamma: 4.0, epsilon: 0.8, gamma_range: 2.0, epsilon_range: 2.0, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 0.9, leaky: 1.0, lstm: False, use_test: True, valid: 0.9, test: 0.91
**************


