n_hid: 256, epochs: 120, batch: 256, lr: 0.0021, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, lstm: False, use_test: True, valid: 0.74, test: 0.73
**************


n_hid: 256, epochs: 120, batch: 256, lr: 0.0021, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, lstm: False, use_test: True, valid: 0.72, test: 0.73
**************


n_hid: 256, epochs: 120, batch: 120, lr: 0.0021, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, lstm: False, use_test: True, valid: 0.71, test: 0.72
**************


n_hid: 256, epochs: 120, batch: 120, lr: 0.0021, dt: 0.042, gamma: 2.7, epsilon: 0.51, gamma_range: 1.0, epsilon_range: 0.5, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 9.0, leaky: 1.0, lstm: False, use_test: True, valid: 0.93, test: 0.94
**************


n_hid: 256, epochs: 120, batch: 120, lr: 0.0021, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, lstm: False, use_test: True, valid: 0.71, test: 0.72
**************


n_hid: 256, epochs: 120, batch: 120, lr: 0.0021, dt: 0.042, gamma: 2.7, epsilon: 0.51, gamma_range: 2.0, epsilon_range: 1.0, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 9.0, leaky: 1.0, lstm: False, use_test: True, valid: 0.93, test: 0.93
**************


n_hid: 256, epochs: 120, batch: 120, lr: 0.0021, dt: 0.042, gamma: 2.7, epsilon: 0.51, gamma_range: 2.0, epsilon_range: 1.0, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 9.0, leaky: 1.0, lstm: False, use_test: True, valid: 0.93, test: 0.93
**************


n_hid: 256, epochs: 120, batch: 120, lr: 0.0021, dt: 0.042, gamma: 2.7, epsilon: 0.51, gamma_range: 2.0, epsilon_range: 1.0, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 9.0, leaky: 1.0, lstm: False, use_test: True, valid: 0.93, test: 0.94
**************


n_hid: 256, epochs: 120, batch: 120, lr: 0.0021, dt: 0.042, gamma: 2.7, epsilon: 0.51, gamma_range: 2.0, epsilon_range: 1.0, cpu: False, check: False, no_friction: True, esn: True, inp_scaling: 1.0, rho: 9.0, leaky: 1.0, lstm: False, use_test: True, valid: 0.93, test: 0.93
**************


